request_id,fy,cc,account,evidence_classification,monthly_cells,periods,expected_vnd_total,reference_vnd_total,delta_vnd_total,source_evidence_examples,reference_evidence_examples,business_question,accepted_response
FA-DEC-012,FY2026,1412000057,5006016244,REFERENCE_ASSET_NOT_IN_SOURCE_SNAPSHOT,12,202504;202505;202506;202507;202508;202509;202510;202511;202512;202601;202602;202603,1068050411,1060527096,-7523315,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1080|asset=170001746 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1081|asset=170001747 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1082|asset=170001748,reference_outputs\secondary\FY2026\49.KDTVN EI1課_MP FY2026_各予定(Ver01) 修正.xlsx|内訳ﾘｽﾄ(4～3月)!112 ; reference_outputs\secondary\FY2026\49.KDTVN EI1課_MP FY2026_各予定(Ver01) 修正.xlsx|内訳ﾘｽﾄ(4～3月)!113 ; reference_outputs\secondary\FY2026\49.KDTVN EI1課_MP FY2026_各予定(Ver01) 修正.xlsx|内訳ﾘｽﾄ(4～3月)!114,"Xác nhận các asset trong file phòng ban có phải mua/snapshot sau file nguồn hay không; nếu có, cung cấp asset register/snapshot được duyệt.",PROVIDE_APPROVED_NEWER_REGISTER | PRESERVE_REFERENCE_EXCEPTION
FA-DEC-013,FY2026,1412000098,5006016242,CONSISTENT_REFERENCE_ADJUSTMENT,1,202504,44348967,28408363,-15940604,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!84|asset=140000249 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!90|asset=140000256,reference_outputs\secondary\FY2026\64.KDTVN 電工製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!72,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-014,FY2026,1412000098,5006016244,CONSISTENT_REFERENCE_ADJUSTMENT,1,202504,17266724,29145181,11878457,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1517|asset=170002230 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1554|asset=170002267 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1555|asset=170002268,reference_outputs\secondary\FY2026\64.KDTVN 電工製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!74,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-015,FY2026,1412000098,9114120007,UNEXPLAINED_FORMULA_OR_AGGREGATE_CONTRADICTION,1,202504,11021800,10582552,-439248,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!84|asset=140000249 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!90|asset=140000256 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1517|asset=170002230,reference_outputs\secondary\FY2026\64.KDTVN 電工製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!75 ; reference_outputs\secondary\FY2026\64.KDTVN 電工製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!77,Cung cấp chứng từ hoặc công thức giải thích điều chỉnh; không thể chọn số đúng từ dữ liệu hiện có.,PROVIDE_ROW_LEVEL_EVIDENCE | PRESERVE_REFERENCE_EXCEPTION
FA-DEC-016,FY2027,1412000018,5006016244,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,696859016,654775885,-42083131,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!609|asset=170001515 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!704|asset=170001977 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!705|asset=170001978,reference_outputs\secondary\FY2027\24.KDTVN 品質保証課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!148 ; reference_outputs\secondary\FY2027\24.KDTVN 品質保証課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!149 ; reference_outputs\secondary\FY2027\24.KDTVN 品質保証課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!150,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-017,FY2027,1412000018,9114120007,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,99676874,101025567,1348693,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!41|asset=140000207 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!42|asset=140000208 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!609|asset=170001515,reference_outputs\secondary\FY2027\24.KDTVN 品質保証課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!169 ; reference_outputs\secondary\FY2027\24.KDTVN 品質保証課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!170 ; reference_outputs\secondary\FY2027\24.KDTVN 品質保証課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!172,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-018,FY2027,1412000034,5005036246,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,3,202604;202607;202608,367000973,367000181,-792,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!159|asset=160005766-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!286|asset=160006068-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!287|asset=160006069-1,reference_outputs\secondary\FY2027\04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!85,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-019,FY2027,1412000034,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,1,202607,468869794,468869534,-260,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!5|asset=140000070-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!7|asset=140000097-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!8|asset=140000098-1,reference_outputs\secondary\FY2027\04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!83,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-020,FY2027,1412000034,5006016244,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,4,202604;202606;202609;202610,428160045,428160047,2,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!619|asset=170001584 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!722|asset=170001995 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!723|asset=170001996,reference_outputs\secondary\FY2027\04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!84,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-021,FY2027,1412000034,9114120007,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,2,202702;202703,107823866,107269769,-554097,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!5|asset=140000070-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!7|asset=140000097-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!8|asset=140000098-1,reference_outputs\secondary\FY2027\04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!38,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-022,FY2027,1412000044,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,8,202604;202605;202606;202607;202608;202609;202610;202611,391686551,406959579,15273028,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!28|asset=140000184,reference_outputs\secondary\FY2027\22.KDTVN 金型技術課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!39,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-023,FY2027,1412000044,5006016243,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,75196476,75196488,12,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!111|asset=150000011,reference_outputs\secondary\FY2027\22.KDTVN 金型技術課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!40,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-024,FY2027,1412000050,5006016244,REFERENCE_ASSET_NOT_IN_SOURCE_SNAPSHOT,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,965188301,988928176,23739875,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!659|asset=170001872 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!660|asset=170001873 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!665|asset=170001909,reference_outputs\secondary\FY2027\07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!254 ; reference_outputs\secondary\FY2027\07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!256 ; reference_outputs\secondary\FY2027\07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!257,"Xác nhận các asset trong file phòng ban có phải mua/snapshot sau file nguồn hay không; nếu có, cung cấp asset register/snapshot được duyệt.",PROVIDE_APPROVED_NEWER_REGISTER | PRESERVE_REFERENCE_EXCEPTION
FA-DEC-025,FY2027,1412000050,9114120007,REFERENCE_ASSET_NOT_IN_SOURCE_SNAPSHOT,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,180315268,158176956,-22138312,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!97|asset=140000261 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!98|asset=140000262 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!659|asset=170001872,reference_outputs\secondary\FY2027\07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!284 ; reference_outputs\secondary\FY2027\07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!285 ; reference_outputs\secondary\FY2027\07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!286,"Xác nhận các asset trong file phòng ban có phải mua/snapshot sau file nguồn hay không; nếu có, cung cấp asset register/snapshot được duyệt.",PROVIDE_APPROVED_NEWER_REGISTER | PRESERVE_REFERENCE_EXCEPTION
FA-DEC-026,FY2027,1412000056,5005036246,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,1,202607,4930128,4929866,-262,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!464|asset=160006260,reference_outputs\secondary\FY2027\23.KDTVN 部品製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!465,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-027,FY2027,1412000056,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,7666405717,9121969883,1455564166,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!6|asset=140000092-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!9|asset=140000106-1 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!15|asset=140000153-1,reference_outputs\secondary\FY2027\23.KDTVN 部品製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!461,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-028,FY2027,1412000056,5006016244,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202604;202605;202606;202607;202608;202609;202610;202611;202612;202701;202702;202703,898228413,901801017,3572604,docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!668|asset=170001916 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!702|asset=170001960 ; docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx|2025.11!754|asset=170002027,reference_outputs\secondary\FY2027\23.KDTVN 部品製造課_MP FY2027_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!459,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
